fid,longitude,latitude,BD,CEC,Fragm,Sand,Silt,Clay,N,OCD,pH,SOC
28,-79.1777,-7.8910,1.4213,13.2990,14.8373,79.4856,11.8804,8.6076,1.2937,11.9241,7.8717,8.6877
29,-79.1436,-7.7911,1.4050,16.8779,12.5959,73.9036,15.7024,10.3940,1.1730,12.7044,7.7850,10.1757
30,-79.2344,-7.9477,1.3795,13.1530,18.0492,79.6798,12.4177,7.9025,3.3686,13.6655,7.7117,15.7265
31,-79.2463,-7.9373,1.3494,14.2453,12.9225,78.6770,13.0970,8.2077,3.5704,16.9740,7.7725,16.7041
32,-79.1774,-7.8638,1.4070,14.9801,17.2744,81.1255,9.7916,9.0695,2.1754,11.2706,7.5406,12.3118
33,-79.2705,-7.9398,1.2843,14.4864,19.4241,77.4188,14.6376,7.9457,3.4868,17.5575,7.3657,19.0269
34,-79.1811,-7.8822,1.3957,15.0286,16.0992,81.3269,10.7848,7.9088,2.3904,12.2013,7.7848,11.8252
35,-79.1396,-7.7777,1.4000,14.8243,12.8719,76.5033,15.0690,8.4868,1.1100,11.6667,7.7794,11.3641
36,-79.1949,-7.9095,1.3882,13.8116,16.0768,80.0392,11.3089,8.6679,2.4525,13.9718,7.7000,10.3664
37,-79.1519,-7.8143,1.3802,14.8775,15.1359,75.9420,13.5927,10.4653,1.1800,12.3316,7.8000,10.4743
38,-79.2088,-7.9396,1.4064,11.8262,21.3971,78.3265,12.4272,9.2441,3.9271,13.1532,7.4057,17.2344
